IdData;IdVersion;Fecha;IdDistribuidora;IdGeneradora;IdCodigoContrato;IdPuntoRetiro;Distribuidora;Suministrador;CodigoContrato;PuntoRetiro;IdDespacho;Energía [kWh];Potencia [kW];Observación
110;18;2020-10-01;;1;;193;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Quelentaro 13.2;;77030.9548677966;103.748383722523;-Error nombre de Distribuidora-Error nombre de Código Contrato
111;18;2020-10-01;;1;;194;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Quirihue 023;;57999.6606038045;120.716845796526;-Error nombre de Distribuidora-Error nombre de Código Contrato
112;18;2020-10-01;;1;;195;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Ranguili 13.2;;55611.0945740862;82.4593376931681;-Error nombre de Distribuidora-Error nombre de Código Contrato
113;18;2020-10-01;;1;;196;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Retiro 13.2;;44242.5066667664;100.878019870346;-Error nombre de Distribuidora-Error nombre de Código Contrato
114;18;2020-10-01;;1;;14;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Carlos 13.2;;148935.946515943;323.879147891986;-Error nombre de Distribuidora-Error nombre de Código Contrato
115;18;2020-10-01;;1;;197;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Clemente 13.2;;0.0;0.0;-Error nombre de Distribuidora-Error nombre de Código Contrato
116;18;2020-10-01;;1;;198;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Gregorio 13.8;;2612.60991201017;5.11298020954598;-Error nombre de Distribuidora-Error nombre de Código Contrato
117;18;2020-10-01;;1;;199;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Javier 023;;8726.39337481301;7.45199513798535;-Error nombre de Distribuidora-Error nombre de Código Contrato
118;18;2020-10-01;;1;;200;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Rafael Emetal 13.2;;7024.90287968885;51.6206636193476;-Error nombre de Distribuidora-Error nombre de Código Contrato
119;18;2020-10-01;;1;;201;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Santa Rosa 023;;36456.3126964216;32.3316951425506;-Error nombre de Distribuidora-Error nombre de Código Contrato
120;18;2020-10-01;;1;;126;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Talca 015;;10398.0264850325;16.2238795110594;-Error nombre de Distribuidora-Error nombre de Código Contrato
121;18;2020-10-01;;1;;128;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Tome 023;;44006.5016712315;76.0434343970417;-Error nombre de Distribuidora-Error nombre de Código Contrato
122;18;2020-10-01;;1;;202;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Villa Prat 13.2;;78972.1017246438;102.025934054646;-Error nombre de Distribuidora-Error nombre de Código Contrato
123;18;2020-10-01;;1;;163;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Ancoa 13.2;;11044.1585599603;21.803605419218;-Error nombre de Distribuidora-Error nombre de Código Contrato
124;18;2020-10-01;;1;;88;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;La Palma 13.2;;126551.019891383;45.1863482956463;-Error nombre de Distribuidora-Error nombre de Código Contrato
125;18;2020-10-01;;1;;105;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Panguilemo 015;;0.0;0.0;-Error nombre de Distribuidora-Error nombre de Código Contrato
126;18;2020-10-01;;1;;197;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Clemente 13.2;;128802.179629498;184.977666939877;-Error nombre de Distribuidora-Error nombre de Código Contrato
127;18;2020-10-01;;1;;199;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Javier 023;;14977.9187171019;11.6282291114218;-Error nombre de Distribuidora-Error nombre de Código Contrato
128;18;2020-10-01;;1;;121;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Miguel 015;;17723.1281864338;37.7289884769298;-Error nombre de Distribuidora-Error nombre de Código Contrato
129;18;2020-10-01;;1;;200;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;San Rafael Emetal 13.2;;157889.39396390872;198.20897738778228;-Error nombre de Distribuidora-Error nombre de Código Contrato
130;18;2020-10-01;;1;;126;CGED;Abengoa;SIC 2013/03_2 (Emetal)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Talca 015;;190407.687999741;281.593536955788;-Error nombre de Distribuidora-Error nombre de Código Contrato
131;18;2020-10-01;;1;;68;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Alameda 015;;291225.798707518;821.065126216128;-Error nombre de Distribuidora-Error nombre de Código Contrato
132;18;2020-10-01;;1;;69;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Andalien 015;;292602.537311136;742.230172736608;-Error nombre de Distribuidora-Error nombre de Código Contrato
133;18;2020-10-01;;1;;70;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Arenas Blancas 015;;94161.0979061223;203.047740813201;-Error nombre de Distribuidora-Error nombre de Código Contrato
134;18;2020-10-01;;1;;71;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Buin CGE 015;;248547.723859161;544.030496731173;-Error nombre de Distribuidora-Error nombre de Código Contrato
135;18;2020-10-01;;1;;72;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Cachapoal 015;;332806.166492124;782.260827807827;-Error nombre de Distribuidora-Error nombre de Código Contrato
136;18;2020-10-01;;1;;73;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chacahuin 13.2;;166024.131737478;365.328353225892;-Error nombre de Distribuidora-Error nombre de Código Contrato
137;18;2020-10-01;;1;;74;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chiguayante 015;;207199.551469468;549.881404810067;-Error nombre de Distribuidora-Error nombre de Código Contrato
138;18;2020-10-01;;1;;75;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chillan 015;;224360.457281721;592.644989111286;-Error nombre de Distribuidora-Error nombre de Código Contrato
139;18;2020-10-01;;1;;76;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chimbarongo 015;;86128.7692538926;145.508097164065;-Error nombre de Distribuidora-Error nombre de Código Contrato
140;18;2020-10-01;;1;;77;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chivilcan 015;;305221.402458183;673.177281749896;-Error nombre de Distribuidora-Error nombre de Código Contrato
141;18;2020-10-01;;1;;78;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Chumaquito 015;;81178.402469572;134.322977155832;-Error nombre de Distribuidora-Error nombre de Código Contrato
142;18;2020-10-01;;1;;79;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Cocharcas 015;;6157.64501223221;-3.22896632466072;-Error nombre de Distribuidora-Error nombre de Código Contrato
143;18;2020-10-01;;1;;80;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Colchagua 015;;139567.047346269;291.519484069723;-Error nombre de Distribuidora-Error nombre de Código Contrato
144;18;2020-10-01;;1;;81;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Colo Colo 015;;163867.337091394;386.867176171422;-Error nombre de Distribuidora-Error nombre de Código Contrato
145;18;2020-10-01;;1;;37;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Coronel 015;;136169.213333684;268.687272421455;-Error nombre de Distribuidora-Error nombre de Código Contrato
146;18;2020-10-01;;1;;133;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Curacavi 012;;89919.318428208;206.646811006294;-Error nombre de Distribuidora-Error nombre de Código Contrato
147;18;2020-10-01;;1;;1;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Curico 13.2;;319447.92997465;809.661108136879;-Error nombre de Distribuidora-Error nombre de Código Contrato
148;18;2020-10-01;;1;;42;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Duqueco 023;;33041.6481618588;51.2098410955994;-Error nombre de Distribuidora-Error nombre de Código Contrato
149;18;2020-10-01;;1;;82;CGED;Abengoa;SIC 2013/03_2_BS4_BB_CGE Distribución_Abengoa;Ejercito 015;;202825.32701355;508.147037041545;-Error nombre de Distribuidora-Error nombre de Código Contrato
